id,conversation_id,role,participantable_id,participantable_type,exited_at,last_active_at,conversation_cleared_at,conversation_deleted_at,conversation_read_at,deleted_at,created_at,updated_at
122,61,owner,196772,App\Models\Customer,,,,,,,2025-12-21 21:09:40,2025-12-21 21:09:40
123,62,owner,1,App\Models\User,,2025-12-21 21:56:46,,,2025-12-21 21:56:46,,2025-12-21 21:16:59,2025-12-21 21:56:46
124,62,owner,671941,App\Models\Customer,,,,,,,2025-12-21 21:16:59,2025-12-21 21:16:59
125,63,owner,1,App\Models\User,,2025-12-21 21:56:43,,,2025-12-21 21:56:43,,2025-12-21 21:22:46,2025-12-21 21:56:43
126,63,owner,567419,App\Models\Customer,,,,,,,2025-12-21 21:22:46,2025-12-21 21:22:46
127,64,owner,1,App\Models\User,,2025-12-21 21:56:40,,,2025-12-21 21:56:40,,2025-12-21 21:44:31,2025-12-21 21:56:40
128,64,owner,570044,App\Models\Customer,,,,,,,2025-12-21 21:44:31,2025-12-21 21:44:31
129,65,owner,1,App\Models\User,,,,,,,2025-12-21 22:14:03,2025-12-21 22:14:03
130,65,owner,673619,App\Models\Customer,,,,,,,2025-12-21 22:14:03,2025-12-21 22:14:03
131,66,owner,1,App\Models\User,,,,,,,2025-12-21 22:50:47,2025-12-21 22:50:47
132,66,owner,655834,App\Models\Customer,,,,,,,2025-12-21 22:50:47,2025-12-21 22:50:47
133,67,owner,1,App\Models\User,,,,,,,2025-12-22 06:55:32,2025-12-22 06:55:32
134,67,owner,201672,App\Models\Customer,,,,,,,2025-12-22 06:55:32,2025-12-22 06:55:32
135,68,owner,1,App\Models\User,,,,,,,2025-12-22 09:28:24,2025-12-22 09:28:24
136,68,owner,669613,App\Models\Customer,,,,,,,2025-12-22 09:28:24,2025-12-22 09:28:24
137,69,owner,1,App\Models\User,,,,,,,2025-12-22 09:28:46,2025-12-22 09:28:46
138,69,owner,673623,App\Models\Customer,,,,,,,2025-12-22 09:28:46,2025-12-22 09:28:46
139,70,owner,1,App\Models\User,,,,,,,2025-12-22 09:48:05,2025-12-22 09:48:05
140,70,owner,648142,App\Models\Customer,,,,,,,2025-12-22 09:48:05,2025-12-22 09:48:05
141,71,owner,1,App\Models\User,,,,,,,2025-12-22 11:21:30,2025-12-22 11:21:30
142,71,owner,671654,App\Models\Customer,,,,,,,2025-12-22 11:21:30,2025-12-22 11:21:30
143,72,owner,1,App\Models\User,,,,,,,2025-12-22 13:18:36,2025-12-22 13:18:36
144,72,owner,673626,App\Models\Customer,,,,,,,2025-12-22 13:18:36,2025-12-22 13:18:36
145,73,owner,1,App\Models\User,,,,,,,2025-12-22 13:44:38,2025-12-22 13:44:38
